LAC  ,CELLID   
54271,37271
54271,37272
25619,21073
54254,38093
21752,21122
54271,36482
21525,7777
21525,2222
21752,2401
21752,32701
21752,45701
54271,35171
21752,32709
54271,35173
21752,32702
54271,35172
21752,35013
21752,45702
54271,36461
21525,46381
21525,35231
21525,35237
21525,21343
21525,35802
21525,35805
21525,35661
21525,35667
21525,45939
54271,35161
54271,35112
54271,36002
54271,36553
25619,2123
54254,40241
54254,35323
21525,2712
54271,36552
54271,35392
21525,35708
21525,45995
21525,2651
54271,35841
54271,35842
54271,35843
54271,35831
54271,35832
54271,35833
54271,35412
54271,35261
54271,35263
21749,35907
21749,35901
21749,35462
21752,35598
54271,36622
54271,36651
21525,35361
54271,36361
25619,2122
54254,35322
21525,35268
21525,35265
21525,35277
21525,35271
54271,36421
54271,36422
54271,35972
54271,36431
54271,36432
54271,36433
54271,35981
21752,6623
21752,17302
54046,7672
54046,7623
21525,45691
21525,21307
21525,35283
21525,35289
54271,36411
54271,35863
21525,35784
21525,35787
21525,35781
21525,21309
21752,6621
54046,7621
21525,35707
21525,21301
21525,21302
54271,35862
21749,32802
54271,36082
54046,6681
21749,35142
54271,36063
21752,22382
25354,35073
54271,35242
54271,35681
54271,35682
54271,35683
54271,35691
54271,35692
54271,35943
54271,36561
54271,36562
54271,36563
54271,36564
25352,39143
25354,35071
25354,45551
54271,35941
54271,36103
21752,17331
21752,17337
21752,45831
54046,13841
21752,17332
21752,17338
54046,13842
25354,36622
54271,36101
21749,21232
54271,37182
54046,8591
21749,21031
21749,2132
21749,32623
54271,35063
21749,2251
54271,35021
25352,9061
25352,16721
54046,7831
54046,6723
25352,9062
54046,7832
54046,6721
25352,9382
54046,6353
25354,30203
25352,12512
54046,6352
25352,7342
25352,34077
54046,6552
54046,7141
54046,6551
25352,34067
25352,34068
54046,6253
21751,153
25352,153
21749,35912
25352,157
25352,39551
25352,39559
25354,34671
25354,34672
25354,43861
25354,45543
25354,43862
54046,14101
25352,16162
25352,18711
25352,45114
25352,45110
25352,45109
25352,45108
25352,45107
25352,45041
21749,21041
21749,2371
25354,34678
25354,34679
25354,34673
25354,13017
25354,13013
54046,14102
54046,18023
54046,18031
54046,18032
25354,13011
54046,6472
54046,18021
54046,18041
54046,18022
54254,35572
25352,37961
54046,7581
25352,12012
25352,12013
25352,12017
54046,6343
25354,363
25354,369
54046,10083
25352,16099
25352,10651
54046,6901
54046,8573
54046,11263
25352,13712
25352,43252
25352,43251
25352,13752
25352,13758
54046,7712
54046,6342
25352,25337
25357,44184
25352,6511
25352,25851
25352,25847
25352,44081
25352,44082
25352,25861
25354,13312
25354,361
54046,10081
54046,12741
25352,16098
25352,16094
21749,2113
25354,362
54046,10082
54046,12742
25352,16097
54046,8572
25352,25852
25352,25841
25352,25862
54254,35622
21749,2119
21749,2111
54254,35493
25357,44187
25357,25023
25357,43054
25352,36903
25357,43059
21749,43794
54254,35491
54046,10462
54046,10922
25357,44188
21524,39697
25357,25022
54046,8702
21276,24793
54046,7201
25352,25827
21524,24761
21524,25123
54046,8222
25357,43058
25357,14159
25357,14153
25357,8021
54046,6122
54046,6123
54046,7961
54046,6461
54046,12841
25357,25021
25357,44298
25357,37362
21524,25492
21524,39428
54046,8652
21276,8242
21276,8248
54046,6022
25357,37421
25354,9212
25354,9218
54046,10553
21437,48243
25357,14158
25357,14152
25357,43057
25357,14157
25357,14151
25357,44299
54046,6121
21276,24791
21276,24792
21265,64272
54270,47202
25354,34378
21266,15673
54033,18791
54033,18793
21749,32811
21749,32813
54254,35431
25357,43577
25357,45912
25357,8261
25357,8263
25357,421
25357,20421
54033,6453
54033,8731
25357,43578
25357,423
25357,20423
25357,36937
25357,36931
54033,8733
54033,6971
21524,7157
21524,7151
54033,10861
21437,6402
21437,48242
54033,15552
21276,18923
54033,15223
25357,8268
25357,8262
54033,6452
21265,64251
21524,36281
21524,36282
21524,7152
21524,36033
54033,10862
54033,6613
25354,13191
54046,10632
54046,10641
21749,32421
21749,38162
54254,35631
25357,9442
25357,9448
54033,6012
54033,6451
25357,44392
54033,14191
21276,16681
54033,7421
25357,36023
54033,6523
21276,18921
54033,15221
25354,13192
54046,10642
21749,38151
54254,35432
25357,36027
54033,6521
25357,36932
25357,19267
25357,36161
25357,36167
54033,6972
54033,7481
54033,6821
54033,6822
54033,8491
54033,7693
54033,7691
21749,2142
54254,35542
25357,8203
54033,6513
25357,43189
25357,10871
25357,16129
21276,16127
54033,17291
54033,6203
54033,6383
54033,8492
21524,19262
21524,36168
21524,16173
54033,7482
54033,7313
21524,34661
54033,12641
25357,36028
25357,36022
54033,6522
25357,43187
25357,45998
21524,16177
21524,16171
54033,7311
25357,44677
25357,8202
54033,6512
25357,43188
21524,48007
54033,14681
54033,12643
21524,39408
21524,9003
21524,9009
